startTime,endTime,temperature,shortForecast
2026-07-05 02:00:00-04:00,2026-07-05 03:00:00-04:00,81,Slight Chance Rain Showers
2026-07-05 03:00:00-04:00,2026-07-05 04:00:00-04:00,80,Slight Chance Rain Showers
2026-07-05 04:00:00-04:00,2026-07-05 05:00:00-04:00,79,Slight Chance Rain Showers
2026-07-05 05:00:00-04:00,2026-07-05 06:00:00-04:00,78,Slight Chance Rain Showers
2026-07-05 06:00:00-04:00,2026-07-05 07:00:00-04:00,78,Slight Chance Rain Showers
2026-07-05 07:00:00-04:00,2026-07-05 08:00:00-04:00,78,Slight Chance Rain Showers
2026-07-05 08:00:00-04:00,2026-07-05 09:00:00-04:00,79,Slight Chance Rain Showers
2026-07-05 09:00:00-04:00,2026-07-05 10:00:00-04:00,81,Slight Chance Rain Showers
2026-07-05 10:00:00-04:00,2026-07-05 11:00:00-04:00,83,Slight Chance Rain Showers
2026-07-05 11:00:00-04:00,2026-07-05 12:00:00-04:00,85,Slight Chance Rain Showers
2026-07-05 12:00:00-04:00,2026-07-05 13:00:00-04:00,87,Slight Chance Rain Showers
2026-07-05 13:00:00-04:00,2026-07-05 14:00:00-04:00,88,Slight Chance Rain Showers
2026-07-05 14:00:00-04:00,2026-07-05 15:00:00-04:00,89,Chance Showers And Thunderstorms
2026-07-05 15:00:00-04:00,2026-07-05 16:00:00-04:00,90,Chance Showers And Thunderstorms
2026-07-05 16:00:00-04:00,2026-07-05 17:00:00-04:00,90,Chance Showers And Thunderstorms
2026-07-05 17:00:00-04:00,2026-07-05 18:00:00-04:00,89,Chance Showers And Thunderstorms
2026-07-05 18:00:00-04:00,2026-07-05 19:00:00-04:00,88,Chance Showers And Thunderstorms
2026-07-05 19:00:00-04:00,2026-07-05 20:00:00-04:00,86,Chance Showers And Thunderstorms
2026-07-05 20:00:00-04:00,2026-07-05 21:00:00-04:00,84,Chance Showers And Thunderstorms
2026-07-05 21:00:00-04:00,2026-07-05 22:00:00-04:00,83,Chance Showers And Thunderstorms
