routeId,weather_start,weather_category,total_alerts
B7,2016-01-24 08:00:00+00:00,Clear,1
B70,2016-01-24 08:00:00+00:00,Clear,1
B74,2016-01-24 08:00:00+00:00,Clear,1
B8,2016-01-24 08:00:00+00:00,Clear,1
B82,2016-01-24 08:00:00+00:00,Clear,1
B82-SBS,2016-01-24 08:00:00+00:00,Clear,1
B83,2016-01-24 08:00:00+00:00,Clear,1
B84,2016-01-24 08:00:00+00:00,Clear,1
B9,2016-01-24 08:00:00+00:00,Clear,1
BM1,2016-01-24 08:00:00+00:00,Clear,1
BM2,2016-01-24 08:00:00+00:00,Clear,1
BM3,2016-01-24 08:00:00+00:00,Clear,1
BM4,2016-01-24 08:00:00+00:00,Clear,1
BM5,2016-01-24 08:00:00+00:00,Clear,1
C,2014-02-03 21:00:00+00:00,Snow,1
C,2014-02-13 21:00:00+00:00,Snow,1
C,2015-01-26 18:00:00+00:00,Snow,1
C,2015-01-27 09:00:00+00:00,Snow,1
C,2016-01-23 16:00:00+00:00,Snow,1
C,2017-02-09 09:00:00+00:00,Snow,2
C,2017-03-14 02:00:00+00:00,Cloudy/Other,2
C,2018-01-03 20:00:00+00:00,Clear,2
C,2018-01-04 12:00:00+00:00,Snow,1
C,2019-02-12 10:00:00+00:00,Rain,1
C,2019-12-05 06:00:00+00:00,Clear,1
D,2014-01-07 19:00:00+00:00,Clear,2
D,2014-01-07 21:00:00+00:00,Clear,1
D,2014-02-03 21:00:00+00:00,Snow,1
D,2014-02-04 10:00:00+00:00,Clear,1
D,2014-02-13 21:00:00+00:00,Snow,1
D,2015-01-27 09:00:00+00:00,Snow,1
D,2016-01-23 16:00:00+00:00,Snow,1
D,2016-01-24 22:00:00+00:00,Snow,1
D,2016-02-05 08:00:00+00:00,Snow,1
D,2016-02-08 12:00:00+00:00,Cloudy/Other,1
D,2016-09-02 18:00:00+00:00,Cloudy/Other,1
D,2016-09-03 00:00:00+00:00,Cloudy/Other,1
D,2016-09-03 13:00:00+00:00,Cloudy/Other,1
D,2016-09-04 07:00:00+00:00,Clear,1
D,2016-09-05 08:00:00+00:00,Cloudy/Other,1
D,2017-02-09 09:00:00+00:00,Snow,2
D,2017-03-14 02:00:00+00:00,Cloudy/Other,2
D,2018-01-03 20:00:00+00:00,Clear,3
D,2018-01-04 05:00:00+00:00,Cloudy/Other,1
D,2018-01-04 12:00:00+00:00,Snow,1
D,2018-01-05 10:00:00+00:00,Clear,1
D,2018-01-05 12:00:00+00:00,Clear,1
D,2018-01-05 19:00:00+00:00,Clear,1
D,2018-01-12 16:00:00+00:00,Rain,1
D,2018-03-02 13:00:00+00:00,Snow,1
D,2018-03-07 19:00:00+00:00,Snow,1
D,2018-03-22 07:00:00+00:00,Snow,1
D,2019-02-12 10:00:00+00:00,Rain,1
D,2019-02-20 18:00:00+00:00,Snow,1
D,2019-02-25 16:00:00+00:00,Cloudy/Other,1
D,2019-05-11 23:00:00+00:00,Cloudy/Other,1
D,2019-10-02 13:00:00+00:00,Clear,1
D,2019-11-28 09:00:00+00:00,Cloudy/Other,1
D,2019-12-05 06:00:00+00:00,Clear,1
E,2017-02-09 09:00:00+00:00,Snow,2
E,2017-03-14 02:00:00+00:00,Cloudy/Other,2
E,2018-01-03 20:00:00+00:00,Clear,2
E,2018-01-03 21:00:00+00:00,Clear,1
E,2018-01-04 12:00:00+00:00,Snow,1
E,2018-03-21 21:00:00+00:00,Snow,1
E,2019-02-12 10:00:00+00:00,Rain,1
E,2019-11-26 18:00:00+00:00,Clear,1
F,2016-02-05 08:00:00+00:00,Snow,1
F,2016-02-08 12:00:00+00:00,Cloudy/Other,1
F,2017-02-09 09:00:00+00:00,Snow,2
F,2017-03-14 02:00:00+00:00,Cloudy/Other,2
F,2018-01-03 20:00:00+00:00,Clear,2
F,2018-01-03 21:00:00+00:00,Clear,1
F,2018-01-04 12:00:00+00:00,Snow,1
F,2018-01-04 22:00:00+00:00,Snow,1
F,2018-01-07 23:00:00+00:00,Clear,1
F,2018-03-07 22:00:00+00:00,Snow,1
F,2018-03-21 21:00:00+00:00,Snow,1
F,2019-02-12 10:00:00+00:00,Rain,1
F,2019-04-29 07:00:00+00:00,Clear,1
F,2019-11-25 14:00:00+00:00,Clear,1
F,2019-11-26 18:00:00+00:00,Clear,1
Franklin Av Shuttle,2016-01-23 11:00:00+00:00,Snow,1
Franklin Av Shuttle,2016-02-05 08:00:00+00:00,Snow,1
Franklin Av Shuttle,2016-02-08 12:00:00+00:00,Cloudy/Other,1
Franklin Av Shuttle,2017-02-09 09:00:00+00:00,Snow,2
Franklin Av Shuttle,2017-03-14 02:00:00+00:00,Cloudy/Other,2
Franklin Av Shuttle,2018-01-04 12:00:00+00:00,Snow,1
Franklin Av Shuttle,2019-02-12 10:00:00+00:00,Rain,1
G,2016-01-23 16:00:00+00:00,Snow,2
G,2016-02-05 08:00:00+00:00,Snow,1
G,2016-02-08 12:00:00+00:00,Cloudy/Other,1
G,2017-02-09 09:00:00+00:00,Snow,2
G,2017-03-14 02:00:00+00:00,Cloudy/Other,2
G,2018-01-03 20:00:00+00:00,Clear,2
G,2018-01-04 12:00:00+00:00,Snow,1
G,2019-02-12 10:00:00+00:00,Rain,1
H,2013-01-22 10:00:00+00:00,Clear,1
J,2013-02-08 17:00:00+00:00,Snow,1
J,2015-01-27 09:00:00+00:00,Snow,1
J,2016-01-23 10:00:00+00:00,Snow,1
J,2016-01-23 16:00:00+00:00,Snow,1
J,2016-02-05 08:00:00+00:00,Snow,1
J,2016-02-08 12:00:00+00:00,Cloudy/Other,1
J,2017-02-09 09:00:00+00:00,Snow,2
J,2017-03-14 02:00:00+00:00,Cloudy/Other,2
J,2018-01-03 20:00:00+00:00,Clear,2
J,2018-01-04 12:00:00+00:00,Snow,1
J,2018-01-04 17:00:00+00:00,Snow,1
J,2018-03-07 18:00:00+00:00,Snow,1
J,2019-02-12 10:00:00+00:00,Rain,1
J,2019-12-09 09:00:00+00:00,Rain,1
L,2016-01-23 10:00:00+00:00,Snow,1
L,2016-01-23 16:00:00+00:00,Snow,1
L,2016-02-05 08:00:00+00:00,Snow,1
L,2016-02-08 12:00:00+00:00,Cloudy/Other,1
L,2017-02-09 09:00:00+00:00,Snow,2
L,2017-03-14 02:00:00+00:00,Cloudy/Other,2
L,2018-01-03 20:00:00+00:00,Clear,2
L,2018-01-04 12:00:00+00:00,Snow,1
L,2018-01-05 06:00:00+00:00,Clear,1
L,2018-03-21 21:00:00+00:00,Snow,1
L,2019-02-12 10:00:00+00:00,Rain,1
M,2015-01-27 09:00:00+00:00,Snow,1
M,2016-01-23 10:00:00+00:00,Snow,1
M,2016-01-23 16:00:00+00:00,Snow,1
M,2016-02-05 08:00:00+00:00,Snow,1
M,2016-02-08 12:00:00+00:00,Cloudy/Other,1
M,2017-02-09 09:00:00+00:00,Snow,2
M,2017-03-14 02:00:00+00:00,Cloudy/Other,2
M,2018-01-03 20:00:00+00:00,Clear,2
M,2018-01-04 12:00:00+00:00,Snow,1
M,2018-03-07 18:00:00+00:00,Snow,1
M,2019-02-12 10:00:00+00:00,Rain,1
M,2019-03-02 06:00:00+00:00,Snow,1
M,2019-04-29 07:00:00+00:00,Clear,1
N,2014-01-07 19:00:00+00:00,Clear,1
N,2014-02-03 20:00:00+00:00,Snow,1
N,2014-02-04 10:00:00+00:00,Clear,1
N,2016-01-23 12:00:00+00:00,Snow,1
N,2016-01-23 16:00:00+00:00,Snow,2
N,2016-02-05 08:00:00+00:00,Snow,1
N,2016-02-08 12:00:00+00:00,Cloudy/Other,1
N,2016-09-02 18:00:00+00:00,Cloudy/Other,1
N,2016-09-03 00:00:00+00:00,Cloudy/Other,1
N,2016-09-03 13:00:00+00:00,Cloudy/Other,1
N,2016-09-04 07:00:00+00:00,Clear,1
N,2016-09-05 08:00:00+00:00,Cloudy/Other,1
N,2017-02-09 09:00:00+00:00,Snow,2
N,2017-03-14 02:00:00+00:00,Cloudy/Other,2
N,2017-03-14 05:00:00+00:00,Snow,1
N,2018-01-03 20:00:00+00:00,Clear,3
N,2018-01-04 05:00:00+00:00,Cloudy/Other,1
N,2018-01-04 11:00:00+00:00,Snow,1
N,2018-01-04 12:00:00+00:00,Snow,1
N,2018-01-04 21:00:00+00:00,Snow,1
N,2018-01-05 10:00:00+00:00,Clear,1
N,2018-01-05 12:00:00+00:00,Clear,1
N,2018-01-05 19:00:00+00:00,Clear,1
N,2018-01-07 23:00:00+00:00,Clear,1
N,2018-03-07 19:00:00+00:00,Snow,1
N,2018-03-07 20:00:00+00:00,Snow,1
N,2018-03-07 22:00:00+00:00,Snow,1
N,2018-11-06 07:00:00+00:00,Cloudy/Other,1
N,2019-02-10 00:00:00+00:00,Clear,1
N,2019-02-12 10:00:00+00:00,Rain,1
N,2019-02-20 18:00:00+00:00,Snow,1
N,2019-02-25 16:00:00+00:00,Cloudy/Other,1
N,2019-10-29 07:00:00+00:00,Rain,1
N,2019-12-17 09:00:00+00:00,Rain,1
Q,2014-01-02 17:00:00+00:00,Cloudy/Other,1
Q,2014-01-23 21:00:00+00:00,Cloudy/Other,1
Q,2014-02-03 21:00:00+00:00,Snow,1
Q,2014-02-13 21:00:00+00:00,Snow,1
Q,2015-01-27 09:00:00+00:00,Snow,1
Q,2016-01-23 16:00:00+00:00,Snow,2
Q,2016-01-26 07:00:00+00:00,Clear,1
Q,2016-02-05 08:00:00+00:00,Snow,1
Q,2016-02-08 12:00:00+00:00,Cloudy/Other,1
Q,2016-09-02 18:00:00+00:00,Cloudy/Other,1
Q,2016-09-03 00:00:00+00:00,Cloudy/Other,1
Q,2016-09-04 07:00:00+00:00,Clear,1
Q,2016-09-05 08:00:00+00:00,Cloudy/Other,1
Q,2016-11-21 18:00:00+00:00,Cloudy/Other,1
Q,2017-02-09 09:00:00+00:00,Snow,2
Q,2017-03-14 02:00:00+00:00,Cloudy/Other,2
Q,2017-03-14 05:00:00+00:00,Snow,1
Q,2017-03-16 18:00:00+00:00,Clear,1
Q,2018-01-03 20:00:00+00:00,Clear,3
Q,2018-01-04 12:00:00+00:00,Snow,1
Q,2018-01-04 21:00:00+00:00,Snow,1
Q,2018-01-05 08:00:00+00:00,Clear,1
Q,2018-03-07 20:00:00+00:00,Snow,1
Q,2018-03-07 22:00:00+00:00,Snow,1
Q,2018-11-13 00:00:00+00:00,Cloudy/Other,1
Q,2019-02-12 10:00:00+00:00,Rain,1
Q,2019-02-20 18:00:00+00:00,Snow,1
